side,hex1,hex2,p,q,h,v,az_deg_left_positive,az_deg_ipsi,el_deg,dir_front,dir_left,dir_up,source,n_fit,zhao_right_lens_row,zhao_p,zhao_q,col_type,col_type_basis,marker_evidence,R7R8_bodyIds,reiser_OL_v1_column_type,pin_distal_x,pin_distal_y,pin_distal_z,pin_proximal_x,pin_proximal_y,pin_proximal_z,pin_dir_az_left_deg,pin_dir_el_deg,lamina_centroid_x,lamina_centroid_y,lamina_centroid_z
L,6,8,-11,-12,-2,-23,62.77,62.77,-55.53,0.25895,0.50329,-0.82441,zhao_uCT_match,1,64,-12.0,-13.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:194611;R7y:547666,,76268.0,47362.0,28786.0,71110.0,43193.0,33550.0,47.3,-30.7,,,
L,6,9,-10,-12,-3,-22,70.23,70.23,-52.52,0.20579,0.57257,-0.79361,zhao_uCT_match,1,81,-11.0,-13.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",R7_unclear:245841;R8_unclear:190633,,76398.0,46825.0,28113.0,71240.0,42788.0,33244.0,45.2,-29.0,,,
L,6,10,-9,-12,-4,-21,77.07,77.07,-49.99,0.14392,0.62665,-0.76589,zhao_uCT_match,1,98,-10.0,-13.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Tm5b"": 1}",R7p:202218;R8p:196262,,76322.0,46299.0,27481.0,71274.0,42453.0,32798.0,43.5,-27.7,,,
L,6,11,-8,-12,-5,-20,83.28,83.28,-47.35,0.07928,0.67286,-0.73551,zhao_uCT_match,1,117,-9.0,-13.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",R7_unclear:250138;R8_unclear:561699,,76353.0,45712.0,26952.0,71395.0,42050.0,32323.0,42.7,-26.6,,,
L,6,12,-7,-12,-6,-19,89.23,89.23,-44.91,0.00956,0.70817,-0.70598,zhao_uCT_match,1,134,-8.0,-13.0,pale,R7,"{""R7p"": 1, ""R8p"": 1}",R7p:280885;R8p:518409,,76218.0,45154.0,26411.0,71367.0,41698.0,32002.0,40.9,-25.0,,,
L,6,13,-6,-12,-7,-18,94.82,94.82,-42.3,-0.06211,0.73697,-0.67306,zhao_uCT_match,1,154,-7.0,-13.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Tm5b"": 1}",R7p:163982;R8p:536955,,76042.0,44456.0,25828.0,71515.0,41227.0,31575.0,38.2,-23.8,,,
L,6,14,-5,-12,-8,-17,100.27,100.27,-39.63,-0.13735,0.75789,-0.63776,zhao_uCT_match,1,173,-6.0,-13.0,yellow?,Dm8a/Tm5a home,"{""Dm8a"": 1, ""Tm5a"": 1}",R7_unclear:221606;R8_unclear:204450,,75791.0,43867.0,25317.0,71480.0,40868.0,31206.0,36.2,-22.3,,,
L,6,15,-4,-12,-9,-16,105.16,105.16,-37.0,-0.20887,0.77083,-0.60183,zhao_uCT_match,1,193,-5.0,-13.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:181456;R8p:192442,,75654.0,43111.0,24841.0,71630.0,40289.0,30869.0,33.7,-21.3,,,
L,6,16,-3,-12,-10,-15,110.52,110.52,-34.58,-0.28853,0.77107,-0.56763,zhao_uCT_match,1,213,-4.0,-13.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Tm5a"": 1}",R8y:929810;R7y:148849,,75226.0,42511.0,24502.0,71592.0,39898.0,30667.0,30.5,-20.1,,,
L,6,17,-2,-12,-11,-14,115.63,115.63,-32.81,-0.36356,0.75779,-0.54182,zhao_uCT_match,1,233,-3.0,-13.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8a"": 1, ""Tm5b"": 1}",R7p:168019;R8p:546240,,74934.0,41747.0,24118.0,71474.0,39419.0,30284.0,29.3,-18.2,,,
L,6,18,-1,-12,-12,-13,120.54,120.54,-31.23,-0.43443,0.73647,-0.51854,zhao_uCT_match,1,252,-2.0,-13.0,unclear,,"{""Dm8a"": 1, ""Dm8b"": 1}",R7_unclear:215687;R8_unclear:524567,,74635.0,41096.0,23886.0,71283.0,38909.0,30179.0,28.0,-17.1,,,
L,6,19,0,-12,-13,-12,125.52,125.52,-29.17,-0.50728,0.71068,-0.48743,zhao_uCT_match,1,272,-1.0,-13.0,pale,R7,"{""R7p"": 1, ""R8p"": 1}",R7p:132253;R8p:197702,,74327.0,40341.0,23615.0,71124.0,38207.0,30063.0,26.4,-16.5,,,
L,6,20,1,-12,-14,-11,131.88,131.88,-26.97,-0.59497,0.66357,-0.45353,zhao_uCT_match,1,291,0.0,-13.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1}",R8y:192128;R7y:953130,,73706.0,39634.0,23449.0,70768.0,37680.0,29960.0,24.3,-15.3,,,
L,6,21,2,-12,-15,-10,133.79,133.79,-24.4,-0.63024,0.65736,-0.41314,zhao_uCT_match,1,311,1.0,-13.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1}",R8y:189603;R7y:194390,,73542.0,38865.0,23306.0,70645.0,37057.0,29892.0,23.7,-14.1,,,
L,6,22,3,-12,-16,-9,141.09,141.09,-23.44,-0.71395,0.5762,-0.39783,extrapolated_local_linear,19,-1,,,unclear,,{},,,72779.0,37911.0,23314.0,70027.0,36217.0,30006.0,22.4,-13.2,90636,39453,28429
