side,hex1,hex2,az_deg_ipsi,el_deg,dir_front,dir_left,dir_up,source
L,9,19,102.12,-19.33,-0.19811,0.9226,-0.33099,zhao_uCT_match
L,9,20,107.04,-17.99,-0.27874,0.90934,-0.30888,zhao_uCT_match
L,9,21,112.42,-16.58,-0.36555,0.88599,-0.28528,zhao_uCT_match
L,9,22,117.72,-14.89,-0.44959,0.85546,-0.257,zhao_uCT_match
L,9,23,122.51,-13.22,-0.52326,0.82091,-0.22869,zhao_uCT_match
L,9,24,128.26,-11.97,-0.60577,0.76812,-0.20747,zhao_uCT_match
L,9,25,135.24,-11.79,-0.69508,0.68929,-0.20431,zhao_uCT_match
L,9,26,143.52,-12.7,-0.7844,0.57998,-0.21986,zhao_uCT_match
L,9,27,150.96,-11.19,-0.85768,0.47616,-0.19404,zhao_uCT_match
L,9,28,158.46,-10.22,-0.91541,0.3613,-0.17742,extrapolated_local_linear
L,10,1,-7.14,-52.53,0.60358,-0.07558,-0.79372,extrapolated_local_linear
L,10,2,1.67,-51.04,0.62852,0.01838,-0.77758,zhao_uCT_match
L,10,3,9.97,-49.32,0.64195,0.11282,-0.7584,zhao_uCT_match
L,10,4,16.78,-47.39,0.64822,0.19543,-0.73595,zhao_uCT_match
L,10,5,23.28,-45.65,0.64219,0.27628,-0.71503,zhao_uCT_match
L,10,6,29.88,-43.69,0.62697,0.36016,-0.69079,zhao_uCT_match
L,10,7,35.99,-41.87,0.60248,0.43761,-0.66747,zhao_uCT_match
L,10,8,41.81,-40.14,0.56979,0.5097,-0.64463,zhao_uCT_match
L,10,9,46.97,-38.43,0.53452,0.57263,-0.6216,zhao_uCT_match
L,10,10,52.21,-35.91,0.49633,0.6401,-0.58645,zhao_uCT_match
L,10,11,57.7,-33.32,0.44649,0.70637,-0.54926,zhao_uCT_match
L,10,12,63.18,-30.67,0.38805,0.76762,-0.51008,zhao_uCT_match
L,10,13,67.91,-28.63,0.33006,0.81331,-0.47915,zhao_uCT_match
L,10,14,72.5,-26.64,0.26871,0.85248,-0.4484,zhao_uCT_match
L,10,15,77.46,-24.16,0.19804,0.89068,-0.40924,zhao_uCT_match
L,10,16,82.53,-21.9,0.12062,0.91997,-0.37297,zhao_uCT_match
L,10,17,87.43,-20.14,0.04206,0.93793,-0.34426,zhao_uCT_match
L,10,18,91.56,-18.37,-0.02587,0.94867,-0.31521,zhao_uCT_match
L,10,19,95.87,-16.05,-0.09828,0.95599,-0.27646,zhao_uCT_match
L,10,20,100.54,-14.42,-0.17717,0.95216,-0.24901,zhao_uCT_match
L,10,21,105.42,-12.99,-0.25901,0.93934,-0.22483,zhao_uCT_match
L,10,22,110.76,-11.24,-0.3477,0.91713,-0.19486,zhao_uCT_match
L,10,23,115.49,-9.7,-0.42426,0.88974,-0.16843,zhao_uCT_match
L,10,24,120.68,-8.47,-0.50462,0.85068,-0.14731,zhao_uCT_match
L,10,25,126.72,-7.39,-0.59297,0.79488,-0.12868,zhao_uCT_match
L,10,26,133.54,-7.16,-0.68343,0.7193,-0.12461,zhao_uCT_match
L,10,27,141.1,-6.86,-0.77267,0.62348,-0.11943,zhao_uCT_match
L,10,28,149.79,-6.37,-0.85886,0.50005,-0.11095,zhao_uCT_match
L,10,29,158.0,-6.34,-0.92149,0.37235,-0.11049,extrapolated_local_linear
L,11,1,-7.15,-47.88,0.66542,-0.08346,-0.74179,extrapolated_local_linear
L,11,2,0.46,-46.58,0.68732,0.0055,-0.72634,zhao_uCT_match
L,11,3,8.07,-45.35,0.69585,0.09861,-0.71138,zhao_uCT_match
L,11,4,14.53,-43.64,0.70055,0.1816,-0.6901,zhao_uCT_match
L,11,5,20.53,-41.84,0.69772,0.26128,-0.66702,zhao_uCT_match
L,11,6,26.47,-40.25,0.68321,0.34021,-0.64613,zhao_uCT_match
L,11,7,32.53,-38.42,0.66056,0.42128,-0.62144,zhao_uCT_match
L,11,8,38.12,-36.3,0.63399,0.49754,-0.59204,zhao_uCT_match
L,11,9,43.03,-34.61,0.60164,0.56167,-0.56794,zhao_uCT_match
L,11,10,47.86,-32.51,0.56585,0.62533,-0.53737,zhao_uCT_match
L,11,11,53.18,-30.0,0.51906,0.69321,-0.50003,zhao_uCT_match
L,11,12,58.17,-27.57,0.46751,0.75316,-0.46279,zhao_uCT_match
L,11,13,63.03,-25.37,0.40984,0.80525,-0.4285,zhao_uCT_match
L,11,14,67.69,-23.33,0.34852,0.84952,-0.39603,zhao_uCT_match
L,11,15,72.3,-21.31,0.28319,0.88752,-0.36347,zhao_uCT_match
L,11,16,77.03,-19.23,0.21196,0.92008,-0.32944,zhao_uCT_match
L,11,17,82.09,-17.04,0.13163,0.94699,-0.29307,zhao_uCT_match
L,11,18,86.56,-15.43,0.05788,0.96223,-0.26601,zhao_uCT_match
L,11,19,90.61,-13.36,-0.01041,0.97287,-0.23112,zhao_uCT_match
L,11,20,95.03,-11.26,-0.08591,0.97698,-0.19526,zhao_uCT_match
L,11,21,99.42,-9.51,-0.16137,0.97296,-0.16527,zhao_uCT_match
L,11,22,104.28,-7.76,-0.2444,0.96023,-0.13498,zhao_uCT_match
L,11,23,109.26,-6.47,-0.32771,0.93805,-0.11261,zhao_uCT_match
L,11,24,113.89,-5.03,-0.40336,0.91084,-0.08764,zhao_uCT_match
L,11,25,119.2,-3.7,-0.48678,0.87113,-0.06459,zhao_uCT_match
L,11,26,125.53,-2.65,-0.58045,0.81298,-0.04622,zhao_uCT_match
L,11,27,132.32,-2.31,-0.67279,0.73874,-0.04027,zhao_uCT_match
L,11,28,140.31,-2.3,-0.76894,0.63806,-0.04011,zhao_uCT_match
L,11,29,150.7,-2.07,-0.8715,0.48906,-0.03613,zhao_uCT_match
L,11,30,157.97,-3.2,-0.92554,0.37452,-0.05582,extrapolated_local_linear
L,12,1,-7.94,-43.48,0.71871,-0.10027,-0.68804,extrapolated_local_linear
L,12,2,-0.45,-42.84,0.73328,-0.00571,-0.6799,zhao_uCT_match
L,12,3,5.94,-41.5,0.74489,0.0775,-0.66267,zhao_uCT_match
L,12,4,12.44,-40.31,0.74469,0.16433,-0.64687,zhao_uCT_match
L,12,5,18.01,-38.7,0.74222,0.24137,-0.62518,zhao_uCT_match
L,12,6,23.61,-36.89,0.73283,0.32033,-0.60029,zhao_uCT_match
L,12,7,29.37,-35.1,0.71298,0.4013,-0.57499,zhao_uCT_match
L,12,8,34.8,-33.03,0.68844,0.47851,-0.54505,zhao_uCT_match
L,12,9,39.43,-31.02,0.66201,0.54427,-0.51528,zhao_uCT_match
L,12,10,43.98,-29.07,0.62897,0.60688,-0.48589,zhao_uCT_match
L,12,11,48.71,-26.84,0.58882,0.67041,-0.45149,zhao_uCT_match
L,12,12,53.63,-24.61,0.53919,0.73204,-0.4164,zhao_uCT_match
L,12,13,58.38,-22.35,0.48488,0.78757,-0.3803,zhao_uCT_match
L,12,14,62.99,-20.24,0.42604,0.83594,-0.34598,zhao_uCT_match
L,12,15,67.44,-18.24,0.36431,0.87709,-0.31303,zhao_uCT_match
L,12,16,71.96,-16.23,0.29731,0.91297,-0.27944,zhao_uCT_match
L,12,17,76.66,-14.2,0.22372,0.94326,-0.24536,zhao_uCT_match
L,12,18,81.36,-12.25,0.14681,0.96616,-0.2121,zhao_uCT_match
L,12,19,85.65,-10.48,0.07451,0.98051,-0.18181,zhao_uCT_match
L,12,20,89.93,-8.53,0.00129,0.98894,-0.14829,zhao_uCT_match
L,12,21,94.39,-6.67,-0.07595,0.99032,-0.1162,zhao_uCT_match
L,12,22,98.79,-4.72,-0.15229,0.98491,-0.08228,zhao_uCT_match
L,12,23,103.16,-3.28,-0.22734,0.97213,-0.05722,zhao_uCT_match
L,12,24,107.51,-1.94,-0.30069,0.95312,-0.03393,zhao_uCT_match
L,12,25,112.49,-0.61,-0.38249,0.9239,-0.01063,zhao_uCT_match
L,12,26,118.43,0.6,-0.47602,0.87938,0.01043,zhao_uCT_match
L,12,27,125.02,1.08,-0.57371,0.81884,0.01877,zhao_uCT_match
L,12,28,132.03,1.05,-0.66936,0.74271,0.01839,zhao_uCT_match
L,12,29,140.12,0.89,-0.76732,0.64108,0.01552,zhao_uCT_match
L,12,30,149.81,-0.52,-0.86436,0.50279,-0.00912,zhao_uCT_match
L,12,31,158.27,-0.25,-0.92894,0.3702,-0.00439,extrapolated_local_linear
L,13,1,-9.97,-39.9,0.75561,-0.13279,-0.64142,extrapolated_local_linear
L,13,2,-2.78,-38.65,0.78007,-0.03793,-0.62455,zhao_uCT_match
L,13,3,3.49,-37.85,0.78815,0.04804,-0.61361,zhao_uCT_match
L,13,4,9.74,-36.63,0.79093,0.13572,-0.59666,zhao_uCT_match
L,13,5,15.2,-35.39,0.78668,0.21372,-0.57919,zhao_uCT_match
L,13,6,20.51,-33.62,0.77995,0.29169,-0.55371,zhao_uCT_match
